Date,Open,High,Low,Close,Volume
2015-08-31,45.91,46.63,45.12,45.29,7470246.0
2015-08-28,45.61,46.11,45.21,46.02,9191586.0
2015-08-27,45.6,46.04,44.67,45.64,14260393.0
2015-08-26,43.86,44.12,42.3,43.98,12675379.0
2015-08-25,44.87,45.1,42.88,42.9,14575371.0
2015-08-24,44.51,45.81,42.73,43.7,18430733.0
2015-08-21,48.03,48.43,47.13,47.13,9305918.0
2015-08-20,49.4,49.51,48.51,48.53,5977398.0
2015-08-19,50.14,50.17,49.41,49.84,6000580.0
2015-08-18,50.31,50.6,50.25,50.44,3288156.0
2015-08-17,50.01,50.41,49.75,50.38,3216632.0
2015-08-14,49.82,50.31,49.72,50.23,3776362.0
2015-08-13,50.02,50.11,49.61,49.84,4129997.0
2015-08-12,50.43,50.49,49.22,50.09,5480914.0
2015-08-11,50.18,50.52,49.99,50.39,4033269.0
2015-08-10,50.42,51.17,50.39,50.66,3729326.0
2015-08-07,50.4,50.44,49.36,50.11,4351800.0
2015-08-06,50.52,51.01,50.07,50.32,6213188.0
2015-08-05,50.98,51.0,50.39,50.48,5032827.0
2015-08-04,50.75,50.81,50.29,50.51,3487660.0
2015-08-03,50.89,50.91,50.14,50.5,3506624.0
2015-07-31,51.07,51.13,50.6,50.69,5573486.0
2015-07-30,50.95,51.05,50.54,50.77,3665012.0
2015-07-29,50.98,51.17,50.76,51.06,3530671.0
2015-07-28,51.09,51.24,50.65,50.94,5734851.0
2015-07-27,50.64,50.85,50.21,50.69,5484244.0
2015-07-24,50.85,51.47,50.84,51.05,5982742.0
2015-07-23,51.33,51.74,50.94,51.2,6098525.0
2015-07-22,49.87,51.09,49.26,50.98,10392287.0
2015-07-21,49.91,50.27,49.76,49.76,6399842.0
2015-07-20,50.01,50.33,49.98,50.06,5416592.0
2015-07-17,49.52,49.97,49.45,49.9,5408700.0
2015-07-16,49.82,49.84,49.54,49.77,3830381.0
2015-07-15,49.84,49.99,49.14,49.31,6611980.0
2015-07-14,49.81,50.38,49.7,50.2,4253666.0
2015-07-13,50.0,50.11,49.58,49.72,5519853.0
2015-07-10,49.63,50.12,49.39,49.93,5028191.0
2015-07-09,49.8,49.93,49.18,49.19,5604805.0
2015-07-08,49.74,50.09,49.17,49.25,5839565.0
2015-07-07,49.96,50.24,49.1,50.21,6069408.0
2015-07-06,49.02,50.12,48.92,49.74,5783811.0
2015-07-02,49.8,49.82,49.16,49.41,2740289.0
2015-07-01,49.4,49.63,49.08,49.52,3378206.0
2015-06-30,49.51,49.55,48.91,49.08,4514667.0
2015-06-29,49.54,49.85,48.96,49.01,5364310.0
2015-06-26,49.47,49.98,49.27,49.97,6780539.0
2015-06-25,49.65,49.87,49.28,49.33,3607886.0
