Date,Open,High,Low,Close,Volume
2015-08-31,60.64,60.99,59.28,59.47,5680015.0
2015-08-28,60.22,61.05,59.77,60.61,5326332.0
2015-08-27,60.51,60.88,59.48,60.82,7446914.0
2015-08-26,59.31,60.12,57.75,60.03,10246517.0
2015-08-25,60.19,60.54,57.88,57.88,8146154.0
2015-08-24,57.99,60.94,51.82,58.65,15215037.0
2015-08-21,62.26,62.83,61.01,61.07,7516392.0
2015-08-20,63.49,63.79,62.71,62.71,5333966.0
2015-08-19,63.27,64.97,63.22,64.12,5245786.0
2015-08-18,63.5,64.62,63.46,64.28,7992213.0
2015-08-17,62.71,63.61,62.57,63.47,3993806.0
2015-08-14,62.45,63.28,62.41,63.08,6060667.0
2015-08-13,62.4,62.69,61.8,62.42,3686926.0
2015-08-12,62.31,62.6,61.27,62.39,6787744.0
2015-08-11,63.41,63.78,62.36,62.66,5409089.0
2015-08-10,63.97,64.35,63.84,63.89,5681532.0
2015-08-07,63.5,63.59,62.16,63.41,7424040.0
2015-08-06,65.13,65.27,63.34,63.54,4732639.0
2015-08-05,65.11,65.48,65.05,65.06,3902904.0
2015-08-04,65.47,65.55,64.65,64.84,3890142.0
2015-08-03,65.95,66.13,64.69,65.34,4611621.0
2015-07-31,64.8,66.78,64.64,65.64,7955156.0
2015-07-30,64.55,64.83,63.82,64.46,4168208.0
2015-07-29,64.99,65.12,64.31,64.89,4920464.0
2015-07-28,64.45,64.72,64.11,64.66,9173089.0
2015-07-27,65.7,65.7,64.29,64.3,9237536.0
2015-07-24,68.07,68.07,65.98,65.98,6866757.0
2015-07-23,69.66,69.66,67.74,68.24,8947014.0
2015-07-22,68.79,69.55,68.47,69.37,7786070.0
2015-07-21,70.11,70.2,68.86,68.87,6107105.0
2015-07-20,70.44,70.54,69.72,69.97,4758162.0
2015-07-17,69.26,69.35,68.89,69.29,3522835.0
2015-07-16,69.68,69.95,69.36,69.38,4139717.0
2015-07-15,69.95,70.42,69.09,69.28,5218048.0
2015-07-14,69.66,70.28,69.45,70.06,3546226.0
2015-07-13,69.65,69.85,69.26,69.66,4572954.0
2015-07-10,68.66,69.49,68.4,69.27,6123604.0
2015-07-09,68.45,68.66,67.89,67.89,4953783.0
2015-07-08,67.88,68.28,67.46,67.74,6179228.0
2015-07-07,67.89,68.39,67.09,68.23,4781962.0
2015-07-06,67.17,68.19,67.01,67.5,5896861.0
2015-07-02,67.87,68.08,67.34,67.48,5204332.0
2015-07-01,66.45,67.71,66.36,67.67,7486104.0
2015-06-30,66.63,66.71,65.94,66.54,6236090.0
2015-06-29,67.24,67.49,65.9,65.97,4710487.0
2015-06-26,67.04,67.68,66.94,67.54,17278027.0
