Date,Open,High,Low,Close,Volume
2015-08-31,55.12,55.3,53.62,53.85,12917065.0
2015-08-28,54.78,55.41,54.59,55.37,12796989.0
2015-08-27,55.28,55.4,53.64,54.95,16135640.0
2015-08-26,53.4,54.61,52.49,54.42,22891194.0
2015-08-25,55.39,55.41,51.0,51.17,22849832.0
2015-08-24,53.07,55.13,45.69,53.99,24838554.0
2015-08-21,56.59,57.62,55.76,55.77,17632538.0
2015-08-20,58.29,58.55,56.74,56.95,23694443.0
2015-08-19,59.32,60.07,59.19,59.66,7986349.0
2015-08-18,59.67,59.95,59.56,59.66,6797381.0
2015-08-17,58.8,59.75,58.58,59.71,6113739.0
2015-08-14,59.01,59.57,58.87,59.18,9466411.0
2015-08-13,58.55,59.45,58.5,58.98,10957191.0
2015-08-12,57.28,58.28,57.12,58.26,7804999.0
2015-08-11,57.93,58.19,57.56,57.76,7078348.0
2015-08-10,58.26,58.6,58.26,58.41,5052372.0
2015-08-07,58.35,58.45,57.67,57.97,9712396.0
2015-08-06,59.16,59.25,58.32,58.43,7019665.0
2015-08-05,59.08,59.28,58.76,59.1,5702629.0
2015-08-04,59.44,59.47,58.37,58.7,6935771.0
2015-08-03,59.3,59.45,58.48,59.05,6806991.0
2015-07-31,59.0,59.33,58.7,58.96,8752452.0
2015-07-30,58.62,58.82,58.28,58.52,6989455.0
2015-07-29,57.69,58.82,57.64,58.54,12875988.0
2015-07-28,56.52,57.64,55.83,57.52,16387120.0
2015-07-27,57.43,57.45,56.63,56.99,14887028.0
2015-07-24,57.71,57.88,57.32,57.41,7847073.0
2015-07-23,58.53,58.53,57.94,58.07,6441613.0
2015-07-22,58.51,59.03,58.01,58.13,8617833.0
2015-07-21,58.99,59.02,58.65,58.67,6932783.0
2015-07-20,58.96,59.2,58.86,59.0,5697221.0
2015-07-17,58.7,58.92,58.59,58.82,6988852.0
2015-07-16,58.51,58.86,58.35,58.82,5324664.0
2015-07-15,58.16,58.56,58.07,58.22,5748728.0
2015-07-14,57.9,58.28,57.68,58.19,7235149.0
2015-07-13,58.25,58.55,57.68,57.87,9133756.0
2015-07-10,58.07,58.25,57.58,57.95,8047391.0
2015-07-09,58.04,58.17,57.35,57.38,8677777.0
2015-07-08,57.73,57.74,57.12,57.35,9111598.0
2015-07-07,57.75,58.1,57.18,57.99,9034251.0
2015-07-06,57.24,57.84,56.64,57.55,8054146.0
2015-07-02,57.94,58.33,57.5,57.67,8518380.0
2015-07-01,56.93,57.87,56.61,57.6,9380054.0
2015-06-30,57.71,57.71,56.7,56.93,11847325.0
2015-06-29,57.93,58.22,57.25,57.29,9601215.0
2015-06-26,58.22,58.53,57.85,58.49,13083743.0
2015-06-25,58.25,58.6,57.72,57.9,9951167.0
2015-06-24,58.92,59.03,58.24,58.24,7908413.0
2015-06-23,58.88,59.05,58.52,59.03,8370963.0
2015-06-22,58.79,59.2,58.43,58.83,8362462.0
2015-06-19,58.41,58.84,57.95,58.04,12613521.0
2015-06-18,57.91,58.87,57.91,58.59,7440464.0
2015-06-17,57.71,58.17,57.47,57.91,7917344.0
2015-06-16,57.24,57.73,56.88,57.71,6968907.0
2015-06-15,57.6,57.64,57.02,57.12,10106506.0
2015-06-12,58.79,58.8,57.79,57.87,15812329.0
2015-06-11,59.2,59.37,58.84,58.91,11640259.0
