Date,Open,High,Low,Close,Volume
2015-08-31,32.71,32.72,31.96,32.22,32034626.0
2015-08-28,33.3,33.36,32.5,32.66,33491832.0
2015-08-27,32.78,33.62,32.66,33.26,38592990.0
2015-08-26,32.08,32.55,31.35,32.43,43645667.0
2015-08-25,33.2,33.22,31.32,31.34,42299709.0
2015-08-24,31.97,33.25,28.47,32.13,52259907.0
2015-08-21,34.24,34.56,33.54,33.54,33488851.0
2015-08-20,34.92,35.14,34.55,34.55,18764789.0
2015-08-19,35.37,35.49,34.96,35.27,17835440.0
2015-08-18,35.39,35.6,35.28,35.52,13343611.0
2015-08-17,35.11,35.53,35.0,35.5,13881656.0
2015-08-14,35.37,35.5,35.04,35.32,18067339.0
2015-08-13,35.38,35.62,34.92,35.36,19540577.0
2015-08-12,34.87,35.47,34.71,35.37,27984632.0
2015-08-11,35.21,35.24,34.94,35.12,19234841.0
2015-08-10,35.21,35.47,35.13,35.36,15619269.0
2015-08-07,35.17,35.3,34.87,35.19,14653781.0
2015-08-06,35.96,35.98,35.03,35.17,24471370.0
2015-08-05,36.07,36.18,35.78,35.82,24247752.0
2015-08-04,36.22,36.22,35.82,36.11,25733256.0
2015-08-03,36.29,36.3,35.9,36.15,17096397.0
2015-07-31,35.91,36.46,35.87,36.06,29004377.0
2015-07-30,35.68,36.0,35.39,35.73,21501902.0
2015-07-29,35.48,36.13,35.44,35.76,45343528.0
2015-07-28,34.94,35.47,34.4,35.35,36671126.0
2015-07-27,34.17,34.4,33.88,34.34,31323719.0
2015-07-24,34.63,34.72,34.15,34.26,21428146.0
2015-07-23,34.99,35.0,34.62,34.78,12718083.0
2015-07-22,35.06,35.2,34.76,34.88,17624916.0
2015-07-21,35.24,35.34,34.88,35.14,17658558.0
2015-07-20,35.13,35.37,35.08,35.24,14772177.0
2015-07-17,35.01,35.08,34.92,35.07,16775621.0
2015-07-16,35.14,35.2,35.03,35.1,15311782.0
2015-07-15,35.02,35.12,34.9,34.98,19466157.0
2015-07-14,34.76,35.15,34.71,35.08,18496477.0
2015-07-13,34.52,34.85,34.49,34.82,18226226.0
2015-07-10,34.24,34.44,34.15,34.36,21146375.0
2015-07-09,33.85,33.98,33.73,33.86,22112005.0
2015-07-08,33.55,33.73,33.39,33.45,20209854.0
2015-07-07,33.34,33.84,33.14,33.73,25852788.0
2015-07-06,33.3,33.64,33.08,33.25,20992420.0
2015-07-02,33.74,34.44,33.35,33.37,22627197.0
2015-07-01,33.56,33.86,33.41,33.69,28218521.0
2015-06-30,33.79,33.79,33.33,33.53,35018708.0
2015-06-29,33.73,34.12,33.54,33.59,28839453.0
2015-06-26,34.17,34.29,33.87,33.92,35670284.0
2015-06-25,34.21,34.34,33.92,34.02,23025334.0
2015-06-24,34.34,34.52,34.23,34.23,23080402.0
2015-06-23,34.41,34.59,34.34,34.5,18452412.0
2015-06-22,34.34,34.5,34.28,34.31,14041005.0
2015-06-19,34.23,34.5,34.18,34.18,28878959.0
2015-06-18,34.08,34.51,34.05,34.37,24510771.0
2015-06-17,34.05,34.18,33.85,33.98,20993535.0
2015-06-16,34.06,34.1,33.81,34.04,20668868.0
2015-06-15,34.06,34.12,33.86,34.04,20933597.0
2015-06-12,34.3,34.46,34.1,34.21,21685532.0
2015-06-11,34.32,34.57,34.26,34.46,20155476.0
2015-06-10,34.08,34.43,34.04,34.31,23674000.0
2015-06-09,34.05,34.13,33.89,34.01,23211089.0
